Name,Phone,Address,Latitude,Longitude,Website,Place ID,Category
Nepal-Bharat Maitri Hospital,01-5241288,"Dakshina Murti Marga, Kathmandu 44600, Nepal",27.711635,85.3454864,https://nbmh.com.np/,ChIJB6FGQHoZ6zkRjI6BWHi9IKM,Hospitals
Medicare Hospital,01-5971606,"Chabahil, Kathmandu 44600, Nepal",27.7183619,85.3465045,http://medicarehosp.com/,ChIJo7VDyXoZ6zkRC6qOihCtfHs,Hospitals
Swacon International Hospital,01-4562960,"164 Rudra Mati Marg, Kathmandu 44600, Nepal",27.7041699,85.33640989999999,http://www.swaconhospital.com/,ChIJcfIrt58Z6zkRIdqnMnyiiKA,Hospitals
Om Hospital & Research Centre Pvt. Ltd.,01-4566178,"चाबहिल सडक, Kathmandu 44602, Nepal",27.7214203,85.3448044,https://omhospitalnepal.com/,ChIJ4RWYhmUZ6zkRhSuw7gimqGE,Hospitals
Civil Service Hospital of Nepal,01-4107000,"Minbhawan Marg, Kathmandu 44600, Nepal",27.6863031,85.3388038,https://csh.gov.np/en,ChIJn8GadpQZ6zkR7dsEu9rdFQ0,Hospitals
Vayodha Hospitals,01-5385280,"Balkhu, Kathmandu 44600, Nepal",27.6842083,85.2983287,http://vayodhahospitals.com/,ChIJay5xSg8Z6zkRNe3ZAWfAD44,Hospitals
CIWEC Hospital Pvt. Ltd.,01-4535232,"Kapurdhara Marg, Kathmandu 44600, Nepal",27.7204,85.317739,http://www.ciwechospital.com/,ChIJaVO1ZhwZ6zkRkhEtRp5q-FQ,Hospitals
Helping Hands Community Hospital,01-4596807,"Rishi Bhakta Marg, Kathmandu 44600, Nepal",27.7198912,85.3458058,http://www.helpinghandshospital.org.np/,ChIJk-2iyHoZ6zkRWtCoYc9tNak,Hospitals
Bir Hospital,01-4221119,"Mahaboudha, Kathmandu 44600, Nepal",27.7056125,85.3137698,https://birhospital.gov.np/,ChIJCyA3_P8Y6zkRvAaR6dNxxPw,Hospitals
Norvic International Hospital,01-5970032,"Thapathali, Kathmandu 44617, Nepal",27.68994,85.3189355,http://www.norvichospital.com/,ChIJmZNSY7EZ6zkRuQ-sNEd_LlI,Hospitals
Metro Kathmandu Hospital,01-4721515,"P8RQ+42C, Kathmandu 44600, Nepal",27.7394951,85.3372517,http://metrokathmanduhospital.com/,ChIJrc9CSkYZ6zkRXqfY6kZawbw,Hospitals
Grande International Hospital,01-5159266,"Tokha Rd, Kathmandu 44600, Nepal",27.752876,85.32588899999999,https://www.grandehospital.com/,ChIJ98DoN80e6zkRTRu-tHvRZ3o,Hospitals
HAMS Hospital,01-4377404,"Mandikhatar Road, Kathmandu 44600, Nepal",27.7333877,85.34633869999999,https://hamshospital.com/,ChIJRaf_Kb8Z6zkReRezznK3Sio,Hospitals
Everest Hospital Pvt. Ltd.,01-4793024,"Kathmandu 44600, Nepal",27.6884982,85.332863,http://everesthospital.org.np/,ChIJDfFD3r0Z6zkR2PBgtkGagps,Hospitals
Chirayu National Hospital & Medical Institute Pvt. Ltd.,01-5902888,"03 रिङ्ग रोड, Kathmandu 44600, Nepal",27.7412217,85.33401649999999,http://www.chirayuhospital.com.np/,ChIJ0Rju-TcZ6zkRFcCip5lPtTk,Hospitals
T.U. Teaching Hospital,01-4512505,"Maharajgunj Sadak, Kathmandu 44600, Nepal",27.7359917,85.3302595,https://tuth.org.np/,ChIJ19o9QzkZ6zkRJPwu2_pj3ns,Hospitals
Grande City Hospital Pvt. Ltd.,01-4163500,"Jyoti Bhawan, Kantipath Marg, Kathmandu 44600, Nepal",27.7111011,85.31480619999999,,ChIJAaRp8wEZ6zkRovp1XQGfd3o,Hospitals
Inova Hospital,980-2348721,"P8GF+J76, लाजिम्पाट सडक, Kathmandu 44600, Nepal",27.7265035,85.3230791,https://inovahospital.com.np/,ChIJDx56a6cZ6zkRGeDf5Rl4aeI,Hospitals
ERA INTERNATIONAL HOSPITAL Pvt. Ltd.,970-9000012,"Pushpalal Path, Kathmandu 20206, Nepal",27.7193177,85.3091199,http://www.era-hospital.com/,ChIJFeOy-t8Z6zkRfyHpvhS4M1Q,Hospitals
Shreedhi International Hospital,01-4001785,"Pandol Marga, Kathmandu 44600, Nepal",27.7255557,85.3238566,https://www.shreedhihospital.com/,ChIJMyR8JRkZ6zkRgXYwDWvdha4,Hospitals
"B&B Hospital, Gwarko (Baidya & Banskota)",01-5970999,"Lalitpur 44700, Nepal",27.664921,85.3292584,https://www.bbhospital.com.np/,ChIJP2JIqbIZ6zkRl5dtCm4mb2Q,Hospitals
Venus Hospital,01-4590255,"M8WQ+V3G, Devkota Sadak, Kathmandu 44600, Nepal",27.6972168,85.33765179999999,https://venushospital.com.np/,ChIJUc_MCZkZ6zkRtfQ6ywdfah8,Hospitals
Frontline Hospital,01-5970132,"Old Baneshwor, Kathmandu 44600, Nepal",27.7025058,85.33844719999999,https://frontlinehospital.com.np/,ChIJg9f3QYUZ6zkRQv-lItdsNwc,Hospitals
Akhanda Medical Center Pvt.Ltd,984-1442510,"Battishputali-9, काठमाडौँ 44600, Nepal",27.7058485,85.34273259999999,https://akhandamedical.com/,ChIJa89cfJ0Z6zkRqM-Rk0FWDqE,Hospitals
Blue Cross Hospital,01-5362027,"Tripura Marg, Kathmandu 44600, Nepal",27.6938746,85.31517199999999,https://bluecross.com.np/,ChIJzbtiYa0Z6zkRUeh9OVTgtm8,Hospitals
Greencity Hospital Pvt.Ltd.,01-4952248,"Ring Rd, Tokha 44600, Nepal",27.7372067,85.3229478,http://www.gch.com.np/,ChIJV2l_2yQZ6zkR2C8PHC1_XKE,Hospitals
Annapurna Neuro Hospital,01-5356568,"माइतीघर मण्डला, Kathmandu 44600, Nepal",27.6947558,85.3214996,http://www.annapurnahospitals.com/,ChIJmUX1zK8Z6zkRxpq5iU9FvJM,Hospitals
Nepal Mediciti,01-4217766,"Karyabinayak, Lalitpur 44600, Nepal",27.6619293,85.302661,http://www.nepalmediciti.com/,ChIJIwNJICYY6zkR86b1T6OO-sU,Hospitals
Overseas Friendship International Hospital 华侨友好医院,01-4520630,"Golkupakha Pipal Bot, Leknath Marg, Kathmandu 44600, Nepal",27.7183104,85.3117149,http://www.ofih.org/,ChIJcwJFwOIY6zkRIY4qaZL3DoY,Hospitals
Kathmandu Model Hospital,01-5340806,"Red Cross Marg, Kathmandu 44600, Nepal",27.7025533,85.32008610000001,https://www.facebook.com/kathmandumodelhospital/,ChIJ7SngQzEZ6zkRVbHHY3UnlLI,Hospitals
Dirghayu Guru Hospital & Research Center,01-4569693,"P88V+2XP, Budhang Marg, Kathmandu 44600, Nepal",27.7145059,85.3451615,,ChIJh0oFe3oZ6zkRCvFynz-dnF4,Hospitals
Samata Hospital,01-4114063,"Boudhadwar Marg, Kathmandu 44600, Nepal",27.7165047,85.3573091,,ChIJW0bjrtcb6zkR7opz9mA8bg4,Hospitals
Shankarapur Hospital,01-4911032,"Boudha Rd, Kathmandu 44600, Nepal",27.7214705,85.37844489999999,,ChIJOc1GrLkb6zkRTWhxp5_jUSI,Hospitals
Wellness Hospital,01-4017787,"Kathmandu 44600, Nepal",27.7420086,85.33857909999999,http://wellnesshospital.com.np/,ChIJSYFcGU8Z6zkRTObVLGqus-o,Hospitals
Valley Maternity Nursing Home,01-4520224,"P84F+478, Kathmandu 44600, Nepal",27.7052949,85.3232037,,ChIJd0rdHKgZ6zkR2lT5UHeN7KE,Hospitals
Kanti Children's Hospital,01-4411550,"P8MH+V9H, महाराजगन्ज सडक, Kathmandu 44600, Nepal",27.7346817,85.3284721,https://www.facebook.com/kantihospital/,ChIJKW4qBDwZ6zkRFzOfEMWJ8mQ,Hospitals
Gandhi Tulasi Manohara Community Hospital,01-4990701,"Jagatjung marga, kadaghari kathmandu Kageshwori manohara 9, M9WC+934, काठमाडौँ 44600, Nepal",27.6965687,85.36831339999999,http://www.gandhitulasimanohara.wordpress.com/,ChIJwX71ijAa6zkRlYSO6uYKeMw,Hospitals
Thapathali Maternity Hospital,01-4212568,"M8Q9+RF9, Kathmandu 44600, Nepal",27.6895303,85.3187366,,ChIJhxVp37MZ6zkRugKsiF-a1so,Hospitals
Paropakar Maternity & Women's Hospital,01-5353276,"M8Q9+QJP, Maternity Hospital Road, Kathmandu 44600, Nepal",27.6894575,85.3190719,http://pmwh.gov.np/,ChIJWx5737MZ6zkRBTcmUwMK2io,Hospitals
Kantipur Hospital,01-4111627,"Shri Ganesh Marg, Kathmandu 44600, Nepal",27.6855939,85.3447983,http://www.kantipurhospital.com.np/,ChIJH-3EeI0Z6zkRMzMxsyy2YdA,Hospitals
All Nepal Hospital,01-4989905,"26, Kathmandu 44600, Nepal",27.7330454,85.31467169999999,http://allnepalhospital.com.np/,ChIJyaKJtCYZ6zkRKVyRkbw9ijk,Hospitals
Hope Hospital,01-4110842,"M8XX+7M2, Sinamangal Rd, Kathmandu 44600, Nepal",27.6982685,85.348321,https://hopehospital.edu.np/,ChIJpc1USYQZ6zkRkH-BrllHBUA,Hospitals
Himal hospital,01-4536348,"Thirbum Marg, Kathmandu 44600, Nepal",27.710568,85.3284891,http://himalhospital.com/,ChIJH9chWwkZ6zkRYI-JyJol2Dk,Hospitals
Huawe international Hospital Pvt. Ltd.,986-4258283,"P87W+97J, Kathmandu 44600, Nepal",27.713474,85.3456398,https://m.facebook.com/HUAWE-international-HospitaL-197642060855093/?ref=bookmarks,ChIJ10SaFHoZ6zkRuAWdMaTj0Pg,Hospitals
Capital Hospital,01-4168222,"P83C+3QH, Kathmandu 44600, Nepal",27.7026767,85.3219738,,ChIJkV0OV6gZ6zkRc5coCBEdx3Q,Hospitals
International Medicare Kathmandu : Traveler's Health Clinic Kathmandu,976-4860781,"Chhetrapati 17, काठमाडौँ 44600, Nepal",27.7114023,85.3084222,http://internationalmedicare.org/,ChIJHfvhFbwZ6zkRz6w7HCk0uu4,Hospitals
KDC- General Hospital (P ) Ltd.,01-4985910,"Basundhara(Near Police Bit, Kathmandu 44600, Nepal",27.7364805,85.3238023,http://www.kdchospital.com/,ChIJ3fyhT9cZ6zkRn5Z80mdbwuc,Hospitals
Motherland Hospital,01-4992788,"Bhaktapur Road, Kathmandu 44600, Nepal",27.6893671,85.3598107,https://motherlandhospital.org.np/,ChIJ_9NwrCYa6zkRpS1qmefNWxE,Hospitals
Neuro Hospital Bansbari,01-4373850,"Kathmandu 44600, Nepal",27.7486124,85.3460046,http://neuro.org.np/,ChIJAbOdP1IZ6zkROg4CQuDoGk8,Hospitals
Nepal Police Hospital,01-4412430,"Krishna Dhara Marg, Kathmandu 44600, Nepal",27.7312052,85.32338709999999,https://nph.nepalpolice.gov.np/,ChIJH7w4NT0Z6zkR1Bsu0nJbKx0,Hospitals
Ishan Children & Women's Hospital Pvt. Ltd.,01-4959560,"Tokha Rd 5, Tokha, Basundhara, Kathmandu 44600, Nepal",27.7445113,85.3329892,https://ishanhospital.com.np/,ChIJaQYlvjcZ6zkRQ_M_NK6AfEQ,Hospitals
Patan Hospital,01-5522295,"Lagankhel Satdobato Rd, Lalitpur 44700, Nepal",27.668302,85.3205683,http://www.pahs.edu.np/,ChIJca-bvtEZ6zkRL3lkCFg9iUg,Hospitals
Tilganga Institute of Ophthalmology,01-5970048,"Ring Rd, Kathmandu 44600, Nepal",27.705663,85.35053990000002,https://tilganga.org/,ChIJYdkU8YEZ6zkRNA4FdTPztNQ,Hospitals
Bharosa Hospital Pvt.Ltd,01-4589891,"Devkota Sadak, Kathmandu 44600, Nepal",27.694354,85.3370236,https://bharosahospital.com.np/,ChIJa3h01ZkZ6zkRoi01Mm2lenI,Hospitals
Nepal Eye Hospital,01-5360813,"Tripureshwor, Kathmandu 44600, Nepal",27.6933205,85.31386940000002,http://www.nepaleyehospital.org/,ChIJ1VfyrLIZ6zkRAMWh1BBSlL0,Hospitals
Kathmandu National Medical College & Teaching Hospital,01-4771557,"29 Ghattekulo Marga, Kathmandu 44600, Nepal",27.7015734,85.3275176,https://kathmandunational.edu.np/,ChIJm5sQcgAZ6zkR9aTNjTMrAbA,Hospitals
Suvekchya Int´l Hospital & Research Center,01-5389534,"P75J+J9P, Kathmandu 44600, Nepal",27.7090855,85.28095429999999,http://www.sihrc.com.np/,ChIJDW4XbYYY6zkRnUNiin-I2I4,Hospitals
National Cardiac Centre (NCC),01-5907144,"Unnamed Road, Kathmandu 44600, काठमाडौँ 44600, Nepal",27.7402849,85.3318927,http://www.nationalcardiaccentre.com/,ChIJa_MT5qMZ6zkRsLKhqRC4qqQ,Hospitals
Chhatrapati Free Clinic Hospital,01-5316138,"P865+798, Gangalal Marg, Kathmandu 44600, Nepal",27.7106607,85.3084547,https://chhatrapatihospital.com/,ChIJe9nWqv4Y6zkRUxjphOzzNhg,Hospitals
International Friendship Children's Hospital,01-4516838,"Maharajgunj, Kathmandu 44600, Nepal",27.7317268,85.32573479999999,http://www.ifch.com.np/,ChIJeQp2CD0Z6zkR2cpD1RZwT3M,Hospitals